Instance,UB,CPU_all,Rel_Heur_Dev,Num_fixed,Rel_Time_Root,BBnodes
1000Ia.txt,111339940.06,226876.92,0.0,981.0,61.91,7248.0
250IIIi.txt,7349579.02,451.85,0.03,235.0,42.16,340.0
300IIIi.txt,7499305.16,1103.0,0.0,289.0,48.82,687.0
350IIIi.txt,9361597.79,2203.65,0.0,343.0,59.27,745.0
400IIIi.txt,22060422.57,2821.72,0.0,381.0,65.51,699.0
450IIIi.txt,28765424.39,6884.78,0.0,432.0,62.15,1560.0
500IIIi.txt,35679997.04,13536.08,0.01,477.0,30.79,4007.0
600Ia.txt,46396548.35,18716.31,0.0,596.0,83.18,1489.0
650Ia.txt,50183822.62,31409.75,0.0,645.0,83.59,1679.0
700Ia.txt,59187662.18,43505.48,0.0,686.0,74.77,3767.0
750Ia.txt,67824339.65,63430.23,0.0,736.0,82.65,3293.0
800Ia.txt,74897428.36,69898.7,0.0,784.0,88.19,1493.0
850Ia.txt,84429662.33,142740.82,0.0,826.0,66.32,6296.0
900Ia.txt,91522770.07,99430.21,0.0,882.0,82.73,2537.0
950Ia.txt,100422604.52,182577.62,0.0,936.0,76.78,7277.0
Testbed average,53128073.61,60372.47,0.0,615.27,67.25,2874.47
