Vers;instance;APset;Cap;p;hybrid;heurParam;UBPre;LBPre;CPU_Pre;Num_Iter;Num_fixed;UB;LB;time_BC;GAP;BBnodes;Hubs;CPU_all;Missed; CPUFLP;CPUGAss
-1;100ll.txt;1;1;100;1;2;246713.97;244631.92;10.41;5;93;246713.97;246713.97;19.09;0.00;68; hubs:29 64 73 ;19.11; 0; 0.01; 0.00
-1;100lt.txt;1;1;100;1;2;256302.67;254095.56;7.99;3;95;256155.33;256155.33;27.87;0.00;155; hubs:29 68 76 ;27.88; 0; 0.05; 0.01
-1;100tl.txt;1;1;100;1;2;365104.85;346038.80;5.68;10;92;362950.09;362950.09;40.48;0.00;242; hubs:44 52 ;40.49; 0; 0.05; 0.01
-1;100tt.txt;1;1;100;1;2;475801.11;468961.31;5.74;9;93;474068.96;474068.96;95.34;0.00;943; hubs:5 34 86 95 ;95.35; 0; 0.33; 0.10
-1;125ll.txt;1;1;125;1;2;239933.93;237570.70;23.53;6;116;239889.33;239889.33;45.14;0.00;101; hubs:33 81 90 ;45.15; 0; 0.41; 0.03
-1;125lt.txt;1;1;125;1;2;251304.77;250212.58;18.71;4;121;251259.16;251259.16;45.11;0.00;299; hubs:35 79 85 87 ;45.11; 0; 0.35; 0.02
-1;125tl.txt;1;1;125;1;2;246486.69;245459.88;2.65;3;123;246486.69;246486.69;59.02;0.00;302; hubs:29 112 ;59.04; 0; 0.00; 0.01
-1;125tt.txt;1;1;125;1;2;291807.35;290796.92;3.34;3;121;291807.35;291807.35;27.50;0.00;194; hubs:11 44 77 88 ;27.52; 0; 0.03; 0.01
-1;150ll.txt;1;1;150;1;2;235591.82;234456.07;43.32;6;145;234765.44;234765.44;52.99;0.00;8; hubs:38 100 ;53.01; 0; 0.02; 0.01
-1;150lt.txt;1;1;150;1;2;249797.49;247148.95;41.91;4;138;249797.49;249797.49;84.61;0.00;293; hubs:37 73 95 104 ;84.61; 0; 1.47; 0.04
-1;150tl.txt;1;1;150;1;2;263356.18;260476.31;9.50;6;147;262543.08;262543.08;73.27;0.00;393; hubs:37 134 ;73.29; 0; 0.07; 0.02
-1;150tt.txt;1;1;150;1;2;322976.47;310241.87;13.00;7;138;322976.47;322976.47;192.72;0.00;1124; hubs:42 65 77 134 144 ;192.74; 0; 0.10; 0.04
-1;175ll.txt;1;1;175;1;2;227997.58;227155.68;67.16;3;171;227997.58;227997.58;119.04;0.00;150; hubs:44 121 ;119.05; 0; 0.03; 0.01
-1;175lt.txt;1;1;175;1;2;251540.80;249811.70;79.87;6;166;251540.80;251540.80;131.37;0.00;138; hubs:46 109 122 166 ;131.39; 0; 0.39; 0.02
-1;175tl.txt;1;1;175;1;2;244860.41;243747.39;5.82;1;172;244860.41;244860.41;54.46;0.00;138; hubs:43 129 ;54.48; 0; 0.00; 0.00
-1;175tt.txt;1;1;175;1;2;312422.83;305122.49;14.61;5;164;312193.78;312193.78;223.69;0.00;764; hubs:57 90 132 151 ;223.70; 0; 1.52; 0.07
-1;200ll.txt;1;1;200;1;2;231069.50;230113.68;114.69;3;196;231069.50;231069.49;210.80;0.00;241; hubs:53 126 184 ;210.83; 0; 0.07; 0.00
-1;200lt.txt;1;1;200;1;2;269108.20;265551.41;187.09;6;172;267218.35;267218.35;980.43;0.00;1441; hubs:41 124 148 168 ;980.45; 0; 3.50; 0.17
-1;200tl.txt;1;1;200;1;2;273443.81;272514.05;13.31;2;196;273443.81;273443.79;163.34;0.00;412; hubs:54 95 186 ;163.37; 0; 0.06; 0.01
-1;200tt.txt;1;1;200;1;2;290888.88;289478.38;23.24;6;195;290582.04;290582.04;346.72;0.00;804; hubs:54 113 168 186 ;346.75; 0; 0.63; 0.15
