Vers;instance;APset;Cap;p;hybrid;heurParam;UBPre;LBPre;CPU_Pre;Num_Iter;Num_fixed;UB;LB;time_BC;GAP;BBnodes;Hubs;CPU_all;Missed; CPUFLP;CPUGAss
-1;100lt.txt;1;0;100;1;2;238016.28;237159.51;16.27;1;97;238016.28;238016.28;23.75;0.00;70; hubs:29 73 ;23.76; 0; 0.00; 0.00
-1;100tt.txt;1;0;100;1;2;309731.49;305097.95;1.57;2;98;305097.95;305097.95;2.32;0.00;0; hubs:52 ;2.32; 0; 0.00; 0.00
-1;125lt.txt;1;0;125;1;2;227949.00;227258.69;15.88;3;122;227949.00;227949.00;42.87;0.00;122; hubs:32 86 ;42.89; 0; 0.01; 0.00
-1;125tt.txt;1;0;125;1;2;258839.68;257970.36;1.81;2;123;258839.68;258839.68;8.53;0.00;9; hubs:11 88 ;8.54; 0; 0.00; 0.00
-1;150lt.txt;1;0;150;1;2;225450.09;225024.28;29.56;3;148;225450.09;225450.09;76.03;0.00;172; hubs:40 101 ;76.05; 0; 0.01; 0.00
-1;150tt.txt;1;0;150;1;2;234778.74;233776.42;2.84;2;148;234778.74;234778.74;59.05;0.00;227; hubs:42 134 ;59.06; 0; 0.01; 0.00
-1;175lt.txt;1;0;175;1;2;227655.38;227327.02;62.49;4;173;227655.38;227655.38;89.85;0.00;51; hubs:46 120 ;89.86; 0; 0.01; 0.00
-1;175tt.txt;1;0;175;1;2;247876.80;246777.91;5.52;3;173;247876.80;247876.80;69.82;0.00;180; hubs:61 121 ;69.84; 0; 0.00; 0.00
-1;200lt.txt;1;0;200;1;2;233802.98;232735.35;188.83;1;198;233802.98;233802.98;290.85;0.00;276; hubs:43 148 ;290.87; 0; 0.00; 0.00
-1;200tt.txt;1;0;200;1;2;273435.15;270768.74;29.80;8;193;272188.11;272188.11;102.24;0.00;136; hubs:54 122 ;102.27; 0; 0.01; 0.00
