Vers;instance;APset;Cap;p;hybrid;heurParam;UBPre;LBPre;CPU_Pre;Num_Iter;Num_fixed;UB;LB;time_BC;GAP;BBnodes;Hubs;CPU_all;Missed; CPUFLP;CPUGAss
-1;100ll.txt;1;0;5;0;2;136929.44;136698.70;19.02;5;86;136929.44;136929.44;23.23;0.00;32; hubs:7 28 55 64 70 ;23.26; 0; 0.06; 0.01
-1;100ll.txt;1;0;10;0;2;106469.57;106249.09;28.85;3;82;106469.57;106469.57;34.32;0.00;14; hubs:7 10 18 29 45 50 57 66 70 75 ;34.33; 0; 0.04; 0.02
-1;100ll.txt;1;0;15;0;2;90534.78;90264.40;27.64;3;67;90533.52;90533.52;41.92;0.00;79; hubs:7 10 13 16 20 22 28 36 45 50 57 66 70 75 85 ;41.92; 0; 0.13; 0.00
-1;100ll.txt;1;0;20;0;2;80270.96;80138.26;21.67;3;72;80270.96;80270.96;26.35;0.00;10; hubs:2 4 7 10 13 16 20 25 28 36 42 49 56 59 63 67 70 75 85 98 ;26.35; 0; 0.01; 0.00
-1;125ll.txt;1;0;5;0;2;137230.08;136864.63;46.21;6;110;137175.68;137175.68;79.80;0.00;111; hubs:7 35 67 79 85 ;79.83; 0; 0.15; 0.00
-1;125ll.txt;1;0;10;0;2;107092.09;106729.26;61.70;4;101;107092.09;107092.09;69.67;0.00;13; hubs:7 10 20 34 55 60 68 81 85 90 ;69.69; 0; 0.13; 0.00
-1;125ll.txt;1;0;15;0;2;91494.56;91145.75;52.99;4;86;91494.56;91494.56;81.33;0.00;132; hubs:7 10 13 20 27 33 41 55 59 66 74 81 85 90 105 ;81.34; 0; 0.19; 0.01
-1;125ll.txt;1;0;20;0;2;81471.65;81297.74;67.74;3;84;81471.65;81471.65;107.44;0.00;149; hubs:2 4 7 10 13 16 25 30 33 42 52 59 74 78 82 85 90 95 103 105 ;107.45; 0; 0.14; 0.04
-1;150ll.txt;1;0;5;0;2;137425.90;136648.98;110.17;6;136;137425.90;137425.90;153.26;0.00;178; hubs:7 40 82 94 100 ;153.27; 0; 0.13; 0.00
-1;150ll.txt;1;0;10;0;2;107478.12;107425.02;131.79;6;138;107478.12;107478.12;159.78;0.00;68; hubs:7 10 25 39 65 72 83 96 100 109 ;159.79; 0; 0.14; 0.00
-1;150ll.txt;1;0;15;0;2;92080.32;91787.94;133.88;3;102;92050.58;92050.58;256.21;0.00;142; hubs:7 10 18 25 32 38 52 65 69 89 96 100 109 115 125 ;256.22; 0; 0.25; 0.00
-1;150ll.txt;1;0;20;0;2;82229.39;82094.09;136.79;3;117;82229.39;82229.39;195.06;0.00;114; hubs:2 4 7 10 15 21 30 35 38 52 62 69 89 93 97 100 109 115 123 125 ;195.07; 0; 0.11; 0.00
-1;175ll.txt;1;0;5;0;2;139354.51;138846.75;287.16;6;161;139354.51;139354.51;535.68;0.00;342; hubs:9 51 98 108 120 ;535.70; 0; 0.48; 0.01
-1;175ll.txt;1;0;10;0;2;110410.20;109583.76;369.62;6;99;109744.35;109744.35;895.65;0.00;236; hubs:9 14 26 47 75 84 98 111 120 129 ;895.67; 0; 0.28; 0.03
-1;175ll.txt;1;0;15;0;2;94160.26;93709.96;264.51;5;116;94123.66;94123.66;627.43;0.00;402; hubs:9 14 26 35 40 46 62 72 83 100 108 114 120 129 145 ;627.45; 0; 0.34; 0.00
-1;175ll.txt;1;0;20;0;2;83843.59;83683.90;260.03;3;139;83843.59;83843.59;429.17;0.00;167; hubs:2 4 9 14 20 26 35 40 46 62 72 83 104 108 114 120 129 135 143 145 ;429.19; 0; 0.00; 0.00
-1;200ll.txt;1;0;5;0;2;140165.43;139624.80;581.66;7;158;140062.65;140062.65;1156.62;0.00;367; hubs:14 61 113 131 141 ;1156.65; 0; 0.93; 0.02
-1;200ll.txt;1;0;10;0;2;110147.66;109762.33;505.19;6;165;110147.66;110147.66;1302.64;0.00;1036; hubs:14 19 35 48 60 99 113 131 140 149 ;1302.66; 0; 0.28; 0.01
-1;200ll.txt;1;0;15;0;2;94660.08;94270.64;399.39;4;131;94459.20;94459.20;769.86;0.00;151; hubs:14 19 31 40 45 56 72 90 98 119 131 140 149 155 170 ;769.89; 0; 0.56; 0.01
-1;200ll.txt;1;0;20;0;2;84955.37;84767.53;426.94;3;149;84955.37;84955.37;1141.72;0.00;1007; hubs:4 8 14 19 25 31 40 50 56 72 83 98 119 126 134 140 149 155 165 170 ;1141.73; 0; 0.03; 0.00
