Vers;instance;APset;Cap;p;hybrid;heurParam;UBPre;LBPre;CPU_Pre;Num_Iter;Num_fixed;UB;LB;time_BC;GAP;BBnodes;Hubs;CPU_all;Missed; CPUFLP;CPUGAss
-1;250IIIi.txt;0;0;250;1;2;7351908.22;7324816.79;190.48;3;235;7349579.02;7349578.80;451.81;0.00;340; hubs:88 141 152 213 237 ;451.85; 0; 0.07; 0.01
-1;250IIIi.txt;0;1;250;1;2;7884233.54;7858161.78;256.62;4;235;7880912.40;7880912.25;439.11;0.00;207; hubs:6 78 89 90 115 141 ;439.14; 0; 1.68; 0.11
-1;300IIIi.txt;0;0;300;1;2;7499305.16;7473616.65;538.48;5;289;7499305.16;7499305.16;1102.94;0.00;687; hubs:88 198 254 275 ;1103.00; 0; 0.31; 0.01
-1;300IIIi.txt;0;1;300;1;2;7611876.55;7575388.88;509.43;6;289;7611876.55;7611876.55;1193.97;0.00;991; hubs:66 128 198 254 256 ;1194.01; 0; 0.16; 0.11
-1;350IIIi.txt;0;0;350;1;2;9361597.79;9344187.23;1306.07;9;343;9361597.79;9361597.79;2203.59;0.00;745; hubs:17 275 323 333 348 ;2203.65; 0; 0.76; 0.01
-1;350IIIi.txt;0;1;350;1;2;9445459.03;9394780.79;1181.53;7;333;9445459.03;9445458.62;6524.48;0.00;5338; hubs:110 152 271 275 323 ;6524.52; 0; 0.84; 0.08
-1;400IIIi.txt;0;0;400;1;2;22060422.84;21978756.39;1848.63;5;381;22060422.57;22060421.03;2821.63;0.00;699; hubs:60 66 235 323 356 390 ;2821.72; 0; 0.70; 0.01
-1;400IIIi.txt;0;1;400;1;2;22840079.39;22755720.25;1704.09;5;375;22828621.74;22828619.63;5976.69;0.00;2259; hubs:180 299 308 320 336 356 390 ;5976.75; 0; 1.06; 0.08
-1;450IIIi.txt;0;0;450;1;2;28765424.39;28655171.60;4278.90;6;432;28765424.39;28765424.39;6884.65;0.00;1560; hubs:150 225 226 254 407 ;6884.78; 0; 0.79; 0.05
-1;450IIIi.txt;0;1;450;1;2;29773590.20;29545383.87;3835.87;6;413;29715150.35;29715147.43;20463.53;0.00;4968; hubs:103 110 180 218 225 275 ;20463.62; 453; 20.81; 0.15
-1;500IIIi.txt;0;0;500;1;2;35684417.14;35532391.09;4167.48;7;477;35679997.04;35679994.09;13535.93;0.00;4007; hubs:11 42 43 110 271 429 ;13536.08; 347175; 0.15; 0.01
-1;500IIIi.txt;0;1;500;1;2;36500689.64;36397193.33;4250.45;6;489;36500689.64;36500689.64;5221.29;0.00;498; hubs:66 141 227 242 275 429 ;5221.38; 0; 1.57; 0.18
-1;600Ia.txt;0;0;600;1;2;46396548.35;46284092.36;15567.88;5;596;46396548.35;46396548.35;18716.09;0.00;1489; hubs:319 417 484 534 ;18716.31; 0; 1.31; 0.04
-1;600Ia.txt;0;1;600;1;2;47886669.36;47613883.91;16886.87;8;577;47878571.44;47878570.48;30162.78;0.00;2385; hubs:127 289 319 417 536 ;30162.95; 1197; 16.28; 0.30
-1;650Ia.txt;0;0;650;1;2;50183822.62;50010480.67;26254.53;5;645;50183822.62;50183819.83;31409.53;0.00;1679; hubs:99 189 319 524 ;31409.75; 0; 0.13; 0.02
-1;650Ia.txt;0;1;650;1;2;51115098.98;50708469.09;28025.90;8;636;51115098.98;51115094.58;57811.28;0.00;10082; hubs:99 147 180 319 ;57811.47; 0; 6.18; 0.13
-1;700Ia.txt;0;0;700;1;2;59187662.18;58933083.10;32531.01;7;686;59187662.18;59187662.18;43505.19;0.00;3767; hubs:264 470 507 524 ;43505.48; 0; 0.16; 0.04
-1;700Ia.txt;0;1;700;1;2;60386958.62;60148759.00;27161.12;6;681;60386958.62;60386957.47;50582.38;0.00;5968; hubs:417 439 500 668 ;50582.63; 0; 0.32; 0.04
